Time,Anomaly (deg C),Lower confidence limit (2.5%),Upper confidence limit (97.5%)
1850-01,-0.9006187,-1.3157626,-0.48547474
1850-02,-0.15071486,-0.7109823,0.40955263
1850-03,-0.50326127,-1.0339669,0.027444389
1850-04,-0.67327887,-1.05942,-0.2871378
1850-05,-0.60724604,-0.9120995,-0.3023927
1850-06,-0.19347593,-0.43304595,0.046094097
1850-07,-0.061502025,-0.27363744,0.1506334
1850-08,0.015616962,-0.20255424,0.23378816
1850-09,-0.31790617,-0.51458853,-0.12122381
1850-10,-0.7515545,-1.0042031,-0.49890593
1850-11,-0.5644277,-0.9177336,-0.2111218
1850-12,-0.5211238,-0.95184433,-0.09040339
1851-01,-0.044900708,-0.47782275,0.38802132
1851-02,-0.50167,-1.0270929,0.023752997
1851-03,-1.0070971,-1.4666023,-0.5475921
1851-04,-0.6889065,-1.0393684,-0.33844468
1851-05,-0.111604765,-0.42022493,0.1970154
1851-06,0.052468386,-0.19153224,0.296469
1851-07,-0.053910352,-0.27481246,0.16699176
1851-08,-0.0062075043,-0.22572353,0.21330853
1851-09,0.08826249,-0.1617215,0.33824646
1851-10,0.05810798,-0.20520185,0.3214178
1851-11,-0.20954458,-0.5516778,0.13258864
1851-12,-0.20598541,-0.6434649,0.23149411
1852-01,-0.3527414,-0.7845747,0.079091884
1852-02,-0.48287162,-0.9803757,0.0146324765
1852-03,-0.6762869,-1.1465037,-0.20607014
1852-04,-0.71890914,-1.047507,-0.3903112
1852-05,-0.028678063,-0.3296217,0.27226555
1852-06,-0.02144388,-0.25914785,0.2162601
1852-07,-0.011929803,-0.23175816,0.20789856
1852-08,-0.05565623,-0.2983988,0.18708634
1852-09,-0.02047585,-0.24284929,0.20189758
1852-10,-0.06976813,-0.33569223,0.19615595
1852-11,-0.57795095,-0.94428563,-0.21161628
1852-12,0.18828736,-0.2651009,0.64167565
1853-01,-0.04770193,-0.45770353,0.36229968
1853-02,-0.42018542,-0.89235723,0.05198642
1853-03,-0.5052254,-0.95961106,-0.050839797
1853-04,-0.45581898,-0.83266795,-0.078970015
1853-05,-0.1632042,-0.46980825,0.14339986
1853-06,0.023884673,-0.22391354,0.2716829
1853-07,0.067338325,-0.16810787,0.3027845
1853-08,0.09737421,-0.11239214,0.30714056
1853-09,-0.19538143,-0.41741136,0.026648503
1853-10,-0.3821505,-0.6463948,-0.11790625
1853-11,-0.6015902,-0.944665,-0.2585154
1853-12,-0.36204526,-0.7873917,0.06330125
1854-01,-0.45771125,-0.8631905,-0.052232027
1854-02,-0.4223606,-0.8932512,0.048529956
1854-03,-0.085044146,-0.5437008,0.37361255
1854-04,-0.31132418,-0.61222345,-0.010424885
1854-05,-0.19426188,-0.46617898,0.07765521
1854-06,-0.34954852,-0.56954306,-0.12955396
1854-07,0.06719997,-0.14208508,0.27648503
1854-08,0.050826762,-0.15383554,0.25548905
1854-09,-0.12305348,-0.3229944,0.07688745
1854-10,0.16684422,-0.056543734,0.39023218
1854-11,-0.28160533,-0.63791156,0.074700885
1854-12,-0.15885867,-0.5648922,0.24717484
1855-01,0.0034667382,-0.38630062,0.39323407
1855-02,-0.37075746,-0.83125734,0.08974244
1855-03,-0.35366672,-0.8259379,0.11860443
1855-04,0.065733954,-0.24709193,0.37855983
1855-05,-0.2370935,-0.559347,0.08515997
1855-06,-0.1758612,-0.40413588,0.052413467
1855-07,-0.2142391,-0.41766015,-0.010818068
1855-08,-0.14797918,-0.3367637,0.04080536
1855-09,-0.3261661,-0.527915,-0.12441721
1855-10,-0.12124105,-0.38812214,0.14564005
1855-11,-0.44888303,-0.82476175,-0.07300431
1855-12,-0.6210319,-1.0415435,-0.20052025
1856-01,0.026184699,-0.32791856,0.38028795
1856-02,-0.38124987,-0.79307747,0.0305777
1856-03,-0.50800085,-0.9645812,-0.051420484
1856-04,-0.24351892,-0.5568318,0.06979391
1856-05,-0.22362927,-0.52953684,0.08227829
1856-06,-0.09033326,-0.30835634,0.12768982
1856-07,-0.2730145,-0.46890348,-0.077125475
1856-08,-0.27353257,-0.47318736,-0.07387778
1856-09,-0.368679,-0.5551326,-0.18222538
1856-10,-0.48836842,-0.735288,-0.2414488
1856-11,-0.6914821,-1.0546184,-0.32834595
1856-12,-0.4868663,-0.9221577,-0.051574856
1857-01,-0.6725955,-1.0298077,-0.31538337
1857-02,-0.41804722,-0.8485371,0.012442697
1857-03,-0.46425134,-0.92074573,-0.0077569354
1857-04,-0.73783344,-1.0941612,-0.38150573
1857-05,-0.7327138,-1.0393995,-0.42602813
1857-06,-0.19904648,-0.42330405,0.025211103
1857-07,-0.25409463,-0.46320957,-0.044979725
1857-08,-0.21586405,-0.4159698,-0.015758295
1857-09,-0.3375206,-0.5275484,-0.14749284
1857-10,-0.50081277,-0.74780726,-0.25381833
1857-11,-0.7597533,-1.1195122,-0.39999437
1857-12,-0.12422665,-0.5584406,0.3099873
1858-01,-0.12322852,-0.56298417,0.31652713
1858-02,-0.60230875,-1.0707057,-0.13391183
1858-03,-0.5660006,-1.0983344,-0.033666752
1858-04,-0.29983082,-0.6335903,0.03392861
1858-05,-0.38763866,-0.6857614,-0.08951592
1858-06,-0.28730443,-0.5135078,-0.061101075
1858-07,-0.24011348,-0.4671956,-0.013031365
1858-08,-0.33527145,-0.5412146,-0.1293283
1858-09,-0.3763679,-0.5727621,-0.1799737
1858-10,-0.17612348,-0.4263037,0.07405675
1858-11,-0.4255758,-0.79475236,-0.05639917
1858-12,-0.4834889,-0.89876825,-0.06820954
1859-01,-0.33785602,-0.71423334,0.03852134
1859-02,-0.32000422,-0.7468976,0.106889166
1859-03,-0.2638359,-0.7523492,0.22467743
1859-04,-0.08328769,-0.39310044,0.22652507
1859-05,-0.0136809815,-0.31930745,0.2919455
1859-06,-0.12850703,-0.35656065,0.09954659
1859-07,-0.26761,-0.45791388,-0.077306144
1859-08,-0.14298159,-0.34165335,0.055690173
1859-09,-0.38717142,-0.588469,-0.18587384
1859-10,-0.27766982,-0.50172263,-0.05361697
1859-11,-0.250893,-0.59575963,0.09397367
1859-12,-0.4982312,-0.9222646,-0.074197866
1860-01,-0.5770035,-1.0396557,-0.11435132
1860-02,-0.6404198,-1.1526681,-0.12817143
1860-03,-1.2679583,-1.8738711,-0.6620454
1860-04,-0.3308667,-0.65011376,-0.01161961
1860-05,-0.27852127,-0.5936158,0.036573246
1860-06,-0.10445343,-0.342674,0.13376713
1860-07,-0.09886361,-0.31918013,0.12145292
1860-08,-0.02295626,-0.28789306,0.24198055
1860-09,-0.013608623,-0.3062701,0.27905285
1860-10,-0.27193123,-0.5189791,-0.0248834
1860-11,-0.82197547,-1.1590502,-0.48490062
1860-12,-1.0798267,-1.4814298,-0.67822367
1861-01,-1.382559,-1.8808676,-0.8842502
1861-02,-0.66150665,-1.2921451,-0.030868271
1861-03,-0.39429238,-1.1367296,0.34814483
1861-04,-0.5478385,-1.0460591,-0.04961796
1861-05,-0.5168911,-0.9049082,-0.12887406
1861-06,-0.103430875,-0.46261257,0.2557508
1861-07,0.05200617,-0.26915583,0.37316817
1861-08,0.111801334,-0.19289714,0.4164998
1861-09,-0.24801917,-0.5325558,0.036517486
1861-10,-0.41407913,-0.6651524,-0.1630059
1861-11,-0.44297364,-0.8197948,-0.0661525
1861-12,-0.3187166,-0.79000485,0.15257171
1862-01,-1.1130203,-1.6397761,-0.58626443
1862-02,-1.0046529,-1.6376287,-0.37167704
1862-03,-0.8371359,-1.5233718,-0.1508999
1862-04,-0.79820573,-1.266724,-0.32968742
1862-05,-0.5525246,-0.9282951,-0.17675416
1862-06,-0.41355714,-0.6985704,-0.1285439
1862-07,-0.33973104,-0.6342535,-0.045208603
1862-08,-0.29864195,-0.59613025,-0.0011536513
1862-09,-0.33977076,-0.62878174,-0.050759755
1862-10,-0.51722866,-0.7804526,-0.25400478
1862-11,-0.9237737,-1.3379437,-0.50960374
1862-12,-1.2805809,-1.782404,-0.7787578
1863-01,0.18852645,-0.3723958,0.7494487
1863-02,-0.26256448,-0.97733814,0.4522092
1863-03,-0.3348571,-0.97949773,0.30978352
1863-04,-0.31638238,-0.76569813,0.13293338
1863-05,-0.19225156,-0.54510874,0.16060561
1863-06,-0.2889883,-0.5907425,0.012765965
1863-07,-0.25171044,-0.6205999,0.117179014
1863-08,-0.18093032,-0.51653177,0.15467115
1863-09,-0.21702242,-0.6170939,0.1830491
1863-10,-0.6492517,-0.9698341,-0.32866937
1863-11,-0.4557238,-0.8607212,-0.050726444
1863-12,-0.65515155,-1.1684574,-0.14184579
1864-01,-0.96151525,-1.563293,-0.35973752
1864-02,-0.5855036,-1.3289528,0.15794559
1864-03,-0.5074581,-1.1829586,0.16804239
1864-04,-0.5584429,-1.0345647,-0.08232102
1864-05,-0.32466525,-0.7187498,0.06941937
1864-06,0.18495072,-0.08948204,0.4593835
1864-07,-0.12707426,-0.46240798,0.20825946
1864-08,0.02401922,-0.3261459,0.3741843
1864-09,-0.37723416,-0.7227227,-0.031745624
1864-10,-0.6937615,-0.9922864,-0.3952366
1864-11,-0.7052797,-1.067424,-0.3431353
1864-12,-0.90775746,-1.4278647,-0.38765028
1865-01,-0.012363493,-0.5573,0.532573
1865-02,-0.7600303,-1.5601991,0.040138498
1865-03,-1.0518299,-1.8225701,-0.28108984
1865-04,-0.7355513,-1.2296966,-0.24140596
1865-05,-0.25981465,-0.6481376,0.12850836
1865-06,-0.06359463,-0.38962445,0.26243517
1865-07,-0.16771226,-0.5242754,0.18885088
1865-08,-0.20155872,-0.52083653,0.117719084
1865-09,-0.024168827,-0.39908502,0.35074735
1865-10,-0.21918891,-0.56801635,0.12963854
1865-11,-0.25909343,-0.6887684,0.17058153
1865-12,-0.65528566,-1.2074953,-0.10307599
1866-01,-0.101021715,-0.66207504,0.46003166
1866-02,-0.5328015,-1.14986,0.084257066
1866-03,-0.8675933,-1.5474393,-0.18774724
1866-04,-0.5333461,-1.0515118,-0.015180383
1866-05,-0.75216556,-1.1485178,-0.35581326
1866-06,-0.03505893,-0.36014557,0.2900277
1866-07,0.08329945,-0.24838208,0.41498098
1866-08,-0.182148,-0.49738628,0.13309029
1866-09,-0.3623511,-0.6952506,-0.029451624
1866-10,-0.59310234,-0.8688382,-0.31736648
1866-11,-0.27520606,-0.6530119,0.10259979
1866-12,-0.33326527,-0.8610071,0.19447653
1867-01,-0.501059,-1.063338,0.061220087
1867-02,-0.3190334,-1.0232794,0.3852126
1867-03,-1.0716891,-1.7619511,-0.3814272
